nome,nacionalidade,funcao,altura_cm,data_nascimento,idade,valor_mercado_euro,clube_anterior
Pedro Guilherme,BRA,Atacante,186,1997-06-29,29,16500000,Fiorentina
Bruno Henrique,BRA,Atacante,184,1990-12-26,35,825000,Santos
Wallace Yan,BRA,Atacante,182,2005-02-07,21,6200000,Flamengo U20
Guilherme Gomes,BRA,Atacante,181,2006-02-02,20,,
Joao Camargo,BRA,Atacante,186,2007-04-12,19,,
Alan Santos,BRA,Atacante,183,2007-05-10,19,,
Giorgian de Arrascaeta,URU,Meio-campista,173,1994-05-28,32,14500000,Cruzeiro
Lucas Paqueta,BRA,Meio-campista,180,1997-08-26,28,36000000,West Ham United
Jorginho,ITA,Meio-campista,180,1991-12-20,34,5400000,Arsenal
Samuel Lino,BRA,Meio-campista,178,1999-12-22,26,17500000,Atletico Madrid
Gonzalo Plata,ECU,Meio-campista,178,2000-11-01,25,8600000,Al-Sadd
Nicolás de la Cruz,URU,Meio-campista,167,1997-05-31,29,8400000,River Plate
Luiz Araujo,BRA,Meio-campista,175,1996-06-01,30,7200000,Atlanta United
Jorge Carrascal,COL,Meio-campista,179,1998-05-22,28,10200000,Dynamo Moscow
Erick Pulgar,CHI,Meio-campista,186,1994-01-15,32,5400000,Fiorentina
Saul Niguez,ESP,Meio-campista,184,1994-11-21,31,1900000,Atletico Madrid
Everton,BRA,Meio-campista,174,1996-03-21,30,6400000,Benfica
Lorran,BRA,Meio-campista,180,2006-07-04,20,4200000,Pisa
Evertton Araujo,BRA,Meio-campista,185,2003-02-28,23,5400000,Volta Redonda U20
Pablo Lucio,BRA,Meio-campista,188,2007-04-01,19,,
Caio Joshua,BRA,Meio-campista,180,2007-05-25,19,,
Rayan Lucas,BRA,Meio-campista,185,2005-01-03,21,935000,
Luiz Felipe,BRA,Meio-campista,183,2008-02-08,18,,
Caio Garcia,BRA,Meio-campista,181,2004-04-03,22,,Botafogo-PB
Danilo,BRA,Zagueiro,184,1991-07-13,35,2600000,
Alex Sandro,BRA,Zagueiro,181,1991-01-25,35,1500000,Juventus
Leo Pereira,BRA,Zagueiro,189,1996-01-30,30,9400000,Athletico
Leo Ortiz,BRA,Zagueiro,185,1996-01-03,30,13600000,Red Bull Bragantino
Emerson Royal,BRA,Zagueiro,183,1999-01-14,27,6600000,AC Milan
Guillermo Varela,URU,Zagueiro,171,1993-03-23,33,1300000,Dynamo Moscow
Ayrton Lucas,BRA,Zagueiro,180,1997-06-19,29,3700000,FC Spartak Moscow
Vitao,BRA,Zagueiro,185,2000-02-02,26,11600000,Internacional
Joao Victor,BRA,Zagueiro,187,2007-01-02,19,775000,
Daniel Sales,BRA,Zagueiro,178,2006-06-23,20,,
Johnny Goes,BRA,Zagueiro,187,2007-03-26,19,,
Daniel Thuram,BRA,Zagueiro,186,2009-03-28,17,,
Daniel Carvalho Marinho,BRA,Zagueiro,,2009-03-31,17,,
Augustín Rossi,ARG,Goleiro,195,1995-08-20,30,10300000,Boca Juniors
Andrew,BRA,Goleiro,189,2001-07-01,25,7200000,Gil Vicente
Dyogo Alves,BRA,Goleiro,188,2004-01-09,22,410000,Flamengo U20
Leonardo Nannetti,BRA,Goleiro,196,2007-08-19,18,,
